"","beta.pooled","tau","tauN.hat","tauB.hat","biasBnor","biasBbin","biasF","mseBnor","mseBbin","mseF","alphaBin","alphaNor","alphaF","betaBin","betaNor","betaF","MCseBin","MCseNor","MCseF"
"1",0,0.001,0.151134309153146,0.0105256138086028,-0.00498842231794088,0.000616929560650984,6.25729020865308e-06,5.71957869786288e-05,3.456587159679e-05,1.78312465759847e-05,0.05,0,0.11,NA,NA,NA,0.000587627222536971,0.000571295088678755,0.000424397462628958
"2",0.02,0.001,0.140288717886245,0.0129251967193273,-0.00426483442275399,-0.000343778019914528,3.82270409350349e-05,5.18993630483872e-05,4.14261347156608e-05,2.38157864780141e-05,NA,NA,NA,0.23,1,0.02,0.000645950488992102,0.000583532869724827,0.000490457683296531
"3",0.04,0.001,0.128477321049715,0.0131317996235145,-0.00260307123472534,2.3746684570683e-05,-0.00105912174888772,4.14656347631492e-05,5.2769645750343e-05,3.22826577520183e-05,NA,NA,NA,0,1,0,0.000730082891691454,0.000591946411972757,0.00056103186744912
"4",0.06,0.001,0.117712032598562,0.0152764057832938,-0.00109719393714646,0.00184524474852901,-0.000935187298133439,4.08592945580703e-05,6.82529930559549e-05,3.20293259455209e-05,NA,NA,NA,0,1,0,0.000809339828701789,0.000632898255840585,0.00056097633741604
"5",0.1,0.001,0.0989492169101304,0.0195116955427325,-0.00041944534730691,-0.00115435652075745,-0.00372394935965988,4.51693338857067e-05,6.98301581918145e-05,6.05769406891665e-05,NA,NA,NA,0,1,0,0.000831802346464489,0.000674150415478768,0.000686883915735045
"6",0.2,0.001,0.061492233635431,0.0304368288085016,0.0112521291958879,0.00220093516861972,-0.0104723854845651,0.000301707430735657,0.000221232844981144,0.000270238165265733,NA,NA,NA,0,0,0,0.00147842644086791,0.00132990855345493,0.00127353523517663
"7",0,0.01,0.137987865621886,0.0144179213133409,-0.00449351349144267,0.000881803087824371,0.000657076219396219,7.22157782338341e-05,5.60525162386265e-05,2.85879323340903e-05,0.03,0,0.1,NA,NA,NA,0.000747216650481551,0.000724911103822405,0.000533297187941779
"8",0.02,0.01,0.125388804634267,0.0155250566249022,-0.00323592141195453,4.6290646479024e-05,-5.10906084297338e-05,5.50358261953089e-05,6.36134692282094e-05,3.39865791772966e-05,NA,NA,NA,0.35,1,0.06,0.000801585086280964,0.000670930597586222,0.000585894541196888
"9",0.04,0.01,0.116318912297806,0.0182590128270936,-0.00198186467094875,0.000380359562157803,-0.00132082980734181,4.7745097413632e-05,6.03392383530731e-05,3.69431949719873e-05,NA,NA,NA,0.02,1,0,0.000779760160980287,0.000665281210684376,0.000596272966370682
"10",0.06,0.01,0.106751556534796,0.018347473397753,-0.00205282673924643,0.000584736678812127,-0.00241577446045278,5.4870475380506e-05,7.33019995872178e-05,5.10573501489881e-05,NA,NA,NA,0,1,0,0.000858469877951578,0.000715318518861119,0.000675856238861641
"11",0.1,0.01,0.0885752366644098,0.0234877549236941,0.00166905816538443,0.000798264277632493,-0.000852334816969239,6.52842141578674e-05,0.000117611976663974,6.07824367529026e-05,NA,NA,NA,0,1,0,0.00108699730425836,0.000794542362395308,0.000778861913259409
"12",0.2,0.01,0.0560463704499942,0.033990298607387,0.0150132470470564,0.00110645010262769,-0.0105210362237838,0.000455867136342101,0.000258632648882664,0.000312184184155686,NA,NA,NA,0,0,0,0.00161247791325586,0.00152577037817976,0.00142662978192732
