"","beta.pooled","tau","tauN.hat","tauB.hat","biasBnor","biasBbin","biasF","mseBnor","mseBbin","mseF","alphaBin","alphaNor","alphaF","betaBin","betaNor","betaF","MCseBin","MCseNor","MCseF"
"1",0,0.001,0.139785547615415,0.0360075038986676,-0.00823688977539359,-0.00107248291964159,0.0044385900968655,0.000252739200557926,0.000296976944095922,0.0001790365067284,0.03,0,0.09,NA,NA,NA,0.00172862625577408,0.00136660327785716,0.00126864050626863
"2",0.02,0.001,0.143348399788438,0.0343652336127014,-0.00542417607233795,0.00402919773526148,0.00409803734271291,0.000168944701723383,0.000257383162922819,0.000145458915001657,NA,NA,NA,0.83,1,0.37,0.00156071962336526,0.00118714927052229,0.00114002040093117
"3",0.04,0.001,0.148045224607537,0.0341814161757716,-0.00561360335187651,0.0024547174061306,0.00398858419336143,0.000201718650545239,0.000273765831235139,0.000129125978994387,NA,NA,NA,0.45,1,0.03,0.00164452011265323,0.00131120311763177,0.0010693960115711
"4",0.06,0.001,0.152306259756121,0.0349129417226164,-0.00714818528353896,-0.00115515820763443,0.00212508337976678,0.000221584218295757,0.000223291151977024,0.000162659989460838,NA,NA,NA,0.14,1,0,0.00149732678124109,0.00131228717542595,0.00126388854070764
"5",0.1,0.001,0.157217923177424,0.0314471131592436,-0.00478525846584255,-0.000476647473454397,0.00235186485098937,0.000188837249212663,0.000250961914276184,0.000131837371226136,NA,NA,NA,0,1,0,0.00159143770037158,0.00129466095022513,0.00112952167828033
"6",0.2,0.001,0.166433082905437,0.032066448661085,-0.00525649353901861,0.00240404788863527,0.00203899439928276,0.000169973086078738,0.00022454798080446,0.000123655782046321,NA,NA,NA,0,1,0,0.00148653394758047,0.00119908366424892,0.00109865980748638
"7",0.3,0.001,0.168339688677717,0.0286113387539724,-0.00534516597146195,2.11074337531647e-05,0.0020504156140676,0.000223373886357333,0.000255786592091607,0.000102747378723309,NA,NA,NA,0,1,0,0.00160738870537909,0.00140275013828305,0.00099769013292825
"8",0,0.01,0.139068649795969,0.0326718867722277,-0.0100194638176134,2.26452615886627e-05,0.0033217173610777,0.000284356893274891,0.000244762967369954,0.000134453679854002,0,0,0.06,NA,NA,NA,0.00157237019365021,0.00136317824591119,0.00111654171000142
"9",0.02,0.01,0.143978802756412,0.0332913422610522,-0.00734360584682208,-0.000115128297762498,0.00447939943875935,0.000189254512247127,0.000246709568496588,0.000136749399132225,NA,NA,NA,0.88,1,0.37,0.00157856959279897,0.00116915736475985,0.00108564731795948
"10",0.04,0.01,0.148013536380249,0.0345120671231009,-0.00821839398456552,0.00161907052757976,0.00338805083746578,0.000259964501238023,0.000278070931479736,0.000162327951452344,NA,NA,NA,0.44,1,0.08,0.00166802835921214,0.00139415265729519,0.00123439374141289
"11",0.06,0.01,0.151807028495428,0.0329057080837101,-0.00548142123272961,0.00109814553482367,0.00320245457908058,0.000190083763699717,0.000287972390732405,0.00011635037231218,NA,NA,NA,0.08,1,0,0.00170194917109099,0.00127143355410975,0.00103521167006045
"12",0.1,0.01,0.157512046222914,0.0334446450920065,-0.00557932430721655,0.000167457098723317,0.0045791405307718,0.000159171097979185,0.000200833081736609,0.000122750939807163,NA,NA,NA,0,1,0,0.00142419582077965,0.00113725808063099,0.00101395521092586
"13",0.2,0.01,0.165376174889661,0.0321665916972008,-0.00235189222999349,0.00442408762885171,0.00271311175953634,0.000147776603221076,0.000193518401169845,0.00010403128680846,NA,NA,NA,0,1,0,0.00132552962474691,0.00119867437790173,0.000988163848663426
"14",0.3,0.01,0.168036772779387,0.0308024769400939,-0.0038486394884904,0.00319821372036472,0.0027411207362113,0.000159878998524921,0.000222272642121694,0.000113857325106296,NA,NA,NA,0,1,0,0.00146350924296642,0.00121050524810195,0.00103642539439145
