"","beta.pooled","tau","tauN.hat","tauB.hat","tauF.hat","biasBnor","biasBbin","biasF","mseBnor","mseBbin","mseF","RhatN","RhatB","alphaBin","alphaNor","alphaF","betaBin","betaNor","betaF","MCseBin","MCseNor","MCseF"
"1",0,0.001,0.174661116864055,0.0109746775829572,0.0081909666434032,-0.000848621263579286,0.000854200213652922,0.000748812030905783,2.98207686757939e-05,2.40447969129456e-05,1.76488177476202e-05,1.00165300863774,1.00639051288582,0.04,0,0.08,NA,NA,NA,0.000485290071622699,0.000542167466643673,0.000415460050346905
"2",0.02,0.001,0.155985829289209,0.0120807390153482,0.00773612321976962,-0.000558766805283047,-6.62929979810822e-05,-0.000680895230916922,3.06737120522057e-05,3.74444090638748e-05,2.33266696963937e-05,1.00161573527996,1.00766878510895,NA,NA,NA,0.19,1,0.01,0.000614965009288683,0.000553788528627662,0.000480562080212814
"3",0.04,0.001,0.141714652162676,0.0147507752678877,0.00821421605767107,-0.000354491870724713,-0.000435037837441365,-0.00168785983657712,3.14122840632318e-05,4.89795010822796e-05,2.66881012174009e-05,1.00147939108974,1.00686995250207,NA,NA,NA,0.01,1,0,0.000702019044622628,0.000562162307854181,0.000490714078628636
"4",0.06,0.001,0.128277051124754,0.0148739602063081,0.00784105449679214,0.00134745903690894,-2.08967039834682e-05,-0.00102720800823871,3.35892622467069e-05,5.99807971579903e-05,2.86104708327672e-05,1.0015967456505,1.00982360260715,NA,NA,NA,0,1,0,0.000778371522557717,0.000566520626373533,0.000527576070828542
"5",0.1,0.001,0.103915633210574,0.0178125561570566,0.0114153756172796,0.00202473476345764,-0.0011915929142937,-0.00300263577172802,4.1890187315225e-05,7.7682638667654e-05,4.94912513613438e-05,1.00145246045361,1.01086125358939,NA,NA,NA,0,1,0,0.000877684885091323,0.000617837843235627,0.000639408105272139
"6",0.2,0.001,0.0631270961759317,0.0321144704244695,0.0209536957674276,0.0128530256563822,-0.000979923684408412,-0.00776916831375002,0.000349242167815512,0.000216694480492085,0.000253679628607094,1.00139656004366,1.00870944026662,NA,NA,NA,0,0,0,0.00147618888934255,0.00136345483377943,0.00139739892686563
"7",0,0.03,0.117665219579176,0.0318328547626529,0.0319560319563692,-0.00422103151898946,0.000920187396450938,0.00132492592512427,0.000105097914621944,9.977910048882e-05,8.90760105655935e-05,1.00142659082183,1.00380568895501,0.02,0,0.07,NA,NA,NA,0.000999658303461297,0.00093894851752481,0.000939162435034037
"8",0.02,0.03,0.106687204188527,0.0320109665610467,0.0289710432658952,-0.00267741942387206,0.00127868171628694,0.000108715639093159,0.000105323136932369,0.000125975616737228,7.56207126721497e-05,1.00155021382303,1.00381075479035,NA,NA,NA,0.69,1,0.42,0.00112069868992185,0.000995720956819181,0.000873914296597578
"9",0.04,0.03,0.0974082909601191,0.0325593407494889,0.0299633022555316,2.75891005464962e-05,0.0018221787280824,0.0011114685503755,0.000131563183931049,0.000162313183924588,0.000121813258059542,1.00149584392938,1.00414151604987,NA,NA,NA,0.17,1,0.03,0.0012672759643317,0.00115278504559141,0.00110361159047785
"10",0.06,0.03,0.0899072920565141,0.0362097805922387,0.0309672992619286,-0.000283616131360076,-7.77562114972138e-05,0.000203769369580782,0.000131821483847342,0.000187235400216775,0.000101108422025224,1.00141918585291,1.00449929316069,NA,NA,NA,0.03,1,0,0.00137521111028893,0.00115356735118104,0.00101038496548455
"11",0.1,0.03,0.0747853856657386,0.0377348342240872,0.0279382145687657,0.00422548791521087,1.20749789355445e-05,-0.0020450028726422,0.000206321114499599,0.000255879930783787,0.000170464707086815,1.00138795229446,1.00568983064464,NA,NA,NA,0,1,0,0.00160768289557171,0.0013797465964752,0.00129600267465158
