"","beta.pooled","tau","tauN.hat","tauB.hat","tauF.hat","biasBnor","biasBbin","biasF","mseBnor","mseBbin","mseF","RhatN","RhatB","alphaBin","alphaNor","alphaF","betaBin","betaNor","betaF","MCseBin","MCseNor","MCseF"
"1",0,0.001,0.0595922491545913,0.0338867246398041,0.00812961586003332,-0.0018020071142827,-0.00211095529416785,0.00230260137477261,0.000173712875281158,0.000390870382540258,0.000120812143386859,1.00152347270945,1.00748307194822,0.03,0,0.11,NA,NA,NA,0.001975645273149,0.00131220242664663,0.00108017100355768
"2",0.02,0.001,0.060401700760888,0.0325054805733613,0.00813477652025902,-0.00132670390536035,-0.00431550654090539,0.00322286593262034,0.000132109598800192,0.000283380887745988,0.000111896593152527,1.00139661622118,1.00956679270215,NA,NA,NA,0.95,1,0.37,0.00163533362685574,0.00114745856881563,0.00101259606519146
"3",0.04,0.001,0.0611677890638622,0.0354114850517373,0.00948576131726533,-0.00059946476599558,-0.00281824171133677,0.00218123264946529,0.000111322194433389,0.000295489608380078,8.75709996378682e-05,1.00143025404252,1.00903291558984,NA,NA,NA,0.58,1,0,0.00170426417676593,0.00105869576913914,0.000914602213951728
"4",0.06,0.001,0.0628496734849975,0.032958782553242,0.010115050620782,7.59581330547765e-05,-0.00344359612476183,0.00217039851647963,0.00011678230706519,0.000320177747605445,8.02055266777905e-05,1.00148903320302,1.00815595967365,NA,NA,NA,0.15,1,0,0.00176474851081219,0.00108607595688021,0.000873255241462629
"5",0.1,0.001,0.0637040801102186,0.0305566024702482,0.0103542973428997,0.00178421299425097,0.000352315776873058,0.00158109638377481,0.000127932084445621,0.000282414818676642,9.66106721434244e-05,1.00148601835145,1.01144308528308,NA,NA,NA,0,0.99,0,0.0016886151527333,0.00112253621766397,0.000974994464468299
"6",0.2,0.001,0.0660928621868533,0.0297585446350735,0.00961035144961553,0.0026144134304692,0.000227922471863262,0.00131865435692302,0.000132184558347701,0.000266155374855602,6.54503142063053e-05,1.00148639462917,1.00808989201736,NA,NA,NA,0,0.01,0,0.00163948571082034,0.00112523578118339,0.000802215775485064
"7",0.3,0.001,0.0668784927943611,0.0290431296668471,0.00807791249454438,0.00339898957589935,-0.000312013988259918,0.00196119789780241,0.000124017620174731,0.000225484963001903,7.53091440442672e-05,1.00167053680648,1.00821218212013,NA,NA,NA,0,0,0,0.00150885470738916,0.0010658353296243,0.000849615758962842
"8",0,0.03,0.0598971335991283,0.0433361102185747,0.0276969085612791,-0.00516371589580542,-0.00278076350743483,0.00445460058061382,0.000245396456646985,0.000357330311404891,0.000185784013801835,1.00171036184593,1.00706678499049,0.01,0,0.05,NA,NA,NA,0.00187917257130191,0.00148641149731065,0.00129466873992996
"9",0.02,0.03,0.0602213457859919,0.0408175728539314,0.0258104782502314,-0.000437175205239664,0.000987200247356233,0.00599790564826934,0.000195406331535968,0.000343921407171996,0.000204656632400834,1.00155010748256,1.00670254202293,NA,NA,NA,0.85,1,0.44,0.0018612118427715,0.00140423317215364,0.00130531841479114
"10",0.04,0.03,0.0615347181120802,0.0454110018221981,0.0304664422847068,-0.00265274368715116,-0.00202796773699947,0.0031068554504278,0.000145612604160629,0.000333514215555738,0.000114349169714048,1.00147985474558,1.00712085799168,NA,NA,NA,0.57,1,0.03,0.0018240856638948,0.00118311161000404,0.00102836841904781
"11",0.06,0.03,0.0614388635140617,0.0390999566032826,0.0242044139842379,-0.00169442192949502,-0.00294077551747588,0.00295709480056316,0.000188970515450881,0.000328177165440269,0.000153747565497369,1.00150353610874,1.00682825984657,NA,NA,NA,0.18,1,0,0.00179654270893039,0.00137105522207424,0.00121023896061748
"12",0.1,0.03,0.063948172959914,0.042112730962692,0.0262741038732433,0.000403444511005102,-0.0018923435759699,0.00308881790953287,0.000193677102615742,0.000304301542931357,0.000149855585963614,1.00156270281744,1.00612270049085,NA,NA,NA,0.01,0.99,0,0.00174286591660143,0.00139810237606637,0.00119051296085056
"13",0.2,0.03,0.0654461746512519,0.0405518643071811,0.0286596671481626,0.000561657458760412,-0.00193418972839826,0.00118103384154031,0.000178132021341366,0.000269021230882741,0.00010452772826234,1.00140061389895,1.00603111656217,NA,NA,NA,0,0,0,0.00163694758120383,0.0013401965868174,0.00102065975557047
"14",0.3,0.03,0.0664635682551181,0.0331830284073092,0.0263677494334986,0.00465929604702803,0.00267877995042204,0.00311056831949208,0.00016670590560625,0.000264280349717465,0.000137120931226987,1.00165618063573,1.00610727478452,NA,NA,NA,0,0,0,0.00161152568307769,0.00121021271171641,0.0011346039933763
