"","beta1.pooled","tau","tauN.hat.tauN","tauB.hat.tauB","tauF.hat1.tauF1","biasBnor1.BayesN1","biasBbin1.BayesB1","biasF1.Freq1","mseBnor1","mseBbin1","mseF1","RhatN1.RhatN1","RhatB1.RhatB1","alphaBin1","alphaNor1","alphaF1","powerBin1","powerNor1","powerF1","MCseBin1","MCseNor1","MCseF1","beta2.pooled","tau","tauF.hat2.tauF2","biasBnor2.BayesN2","biasBbin2.BayesB2","biasF2.Freq2","mseBnor2","mseBbin2","mseF2","RhatN2.RhatN2","RhatB2.RhatB2","alphaBin2","alphaNor2","alphaF2","powerBin2","powerNor2","powerF2","MCseBin2","MCseNor2","MCseF2"
"S1ORspline",0,0.001,0.0601199383557699,0.0365731903643651,0.0242173597530157,-0.00888214414430858,-0.000812724354435232,0.00605661665275617,0.00138185671028967,0.000813355862424274,0.000400892936548187,1.14458554367271,1.04698154911973,0.03,0,0.04,NA,NA,NA,0.00286514290289682,0.0036278443744107,0.00191804385639326,0,0.001,0.0437373600924872,0.015087875378229,0.00165687533274807,-0.0106830948716472,0.0120709588577115,0.0129369761839642,0.00180524371625314,1.17571893904594,1.13480610453713,0.04,0,0.03,NA,NA,NA,0.0114301704910957,0.0109375245450957,0.0041330342025392
"S2ORspline",0.02,0.001,0.0613988755370236,0.0386903556179811,0.0234134361062396,-0.00922328235964087,0.00027781829296545,0.00520919345177124,0.00136734841632735,0.000536888307705042,0.00031031641102125,1.1410234785111,1.0782090310603,NA,NA,NA,0.04,0,0.2,0.0023285906881504,0.00359893289296951,0.00169127503931765,0,0.001,0.0447202465932345,0.0182360896578864,-0.0071080660779416,-0.00775109233060343,0.0111543372542176,0.0117531922735222,0.00149550389734919,1.17358131033575,1.200631518154,0.02,0,0.01,NA,NA,NA,0.0108723854027066,0.0104551868564896,0.00380778636750038
"S3ORspline",0.04,0.001,0.0636323874472192,0.0368309823276947,0.0211236267226599,-0.00396415113297847,0.000554948289343486,0.00627722969685343,0.00173487865811683,0.000561892629882966,0.000319527486154681,1.12601649800628,1.06940323581824,NA,NA,NA,0.27,0,0.63,0.00238171626065192,0.0041671686532905,0.00168212189678173,0.02,0.001,0.0395584787863118,0.0149683832102761,0.0110795087795308,-0.00677952858596679,0.0167803021730925,0.0115436203608268,0.00130265691322997,1.16232615843937,1.17135627549933,NA,NA,NA,0.02,0,0.02,0.0107406829937407,0.0129319312256084,0.00356284828938195
"S4ORspline",0.06,0.001,0.064895024664392,0.0356813236698739,0.0216483894606105,-0.0174521050668701,0.00142717308108296,0.00527547366006414,0.00206377289412604,0.000684648209659416,0.000362324998311113,1.13449323151376,1.08833112188598,NA,NA,NA,0.58,0,0.96,0.00262584548511089,0.00421540815194502,0.00183813249534281,0.05,0.001,0.0381105262199992,0.0586617498056741,4.82693451931346e-05,-0.00755122272306759,0.0202126685992144,0.0146042232519624,0.00197056032857137,1.17291164403156,1.18617013660013,NA,NA,NA,0.07,0,0.23,0.0121456734292848,0.0130157122254941,0.00439643951897671
"S5ORspline",0.1,0.001,0.0667961291756979,0.0356017159564705,0.0240452900909818,-0.00529746277328609,0.000462327608584223,0.00445607387820249,0.00143980090530905,0.000594843118257223,0.000287080167566996,1.11210475224524,1.07511412487503,NA,NA,NA,0.97,0.01,1,0.00245078707505738,0.00377623856659847,0.00164293274716497,0.03,0.001,0.0395555524438571,0.0101335872334666,-0.00202600579972504,-0.00797366938723798,0.0187652926443269,0.0139676765210117,0.00155906331245727,1.1290996257797,1.1731819505689,NA,NA,NA,0.04,0,0.12,0.0118762864572755,0.013729935978026,0.00388663068354918
"S6ORspline",0.2,0.001,0.0690402777659254,0.0323939320516024,0.0218056705339781,-0.00752246841550142,0.00525314174211963,0.00467202617791121,0.00196317580325341,0.000855930456149968,0.00034519517450276,1.15467707104753,1.07722785874856,NA,NA,NA,1,0.0600000000000001,1,0.00289258012467212,0.00438844703692213,0.00180730097859461,0.1,0.001,0.0390915425310799,0.0230341806807363,-0.00659212625048172,-0.00709294620330142,0.0250736875426404,0.0166139679864252,0.00137010135539671,1.20903701137766,1.18102192148094,NA,NA,NA,0.12,0,0.76,0.0129375000543299,0.015745165704453,0.00365119527897232
"S7ORspline",0.3,0.001,0.0673711402337728,0.032642699797156,0.0213357385163082,-0.00681059623208213,-5.17681409428761e-06,0.0017017249411716,0.0023229540549146,0.000710469048882811,0.000261987791442409,1.11390386852356,1.07037730684272,NA,NA,NA,1,0.41,1,0.00267889058539524,0.00479537849263831,0.00161774229655113,0.2,0.001,0.0338400708568714,0.0217782051917814,0.000932911760834543,-0.00187041866209092,0.0272676781139795,0.027616396141082,0.0009839922113175,1.13889686427352,1.16637562759211,NA,NA,NA,0.42,0,0.99,0.0167016378005117,0.016451148341179,0.00314705850370107
"S8ORspline",0,0.03,0.0607562989334066,0.0486048977391158,0.0423514604880714,-0.0164523634613814,0.0030497114613645,0.00526562182629432,0.00188418495009734,0.000803311863107603,0.000445373335914981,1.13694518792805,1.03979948929318,0.03,0,0.03,NA,NA,NA,0.00283201595596648,0.00403708151239189,0.00205393577028566,0,0.03,0.0789358606832542,0.0356500529100053,-0.00206253216842791,-0.00363627620228533,0.0145260530808941,0.0218929995384995,0.00176759947036052,1.1742520864223,1.11242866739302,0.04,0,0.02,NA,NA,NA,0.0148693792536687,0.0115710919874443,0.00420962937227631
"S9ORspline",0.02,0.03,0.0615695111927807,0.0438096117286354,0.0380452802369354,-0.0116439289509315,0.00146501164475753,0.0048782778465871,0.00173110072605634,0.00105025307330633,0.000436843902100867,1.11862965219124,1.0730431848113,NA,NA,NA,0.17,0,0.25,0.00325375744594477,0.00401451865693621,0.00204259269624445,0,0.03,0.05974885420415,0.0249286304569786,-0.0148955948979487,-0.00289108374114687,0.0157686555735883,0.0277818639728366,0.00194445007218291,1.14787774970111,1.18427116286781,0.06,0,0.05,NA,NA,NA,0.0166848341060434,0.0123694062787249,0.00442227112338594
"S10ORspline",0.04,0.03,0.0642800463301677,0.0429084716997005,0.0374864309705409,-0.0169306771875007,0.000341412400273224,0.00423668700814826,0.00161089978234828,0.000699381265550332,0.000294599060482689,1.17079962462984,1.06941564879247,NA,NA,NA,0.25,0,0.52,0.00265768316951588,0.00365736002420817,0.00167165781041697,0.02,0.03,0.0688929767974095,0.0517103641998281,0.0258803885373986,0.00630785755780821,0.0141092532394199,0.0194270567976802,0.00166956006272615,1.22465699451518,1.1668548598005,NA,NA,NA,0.01,0,0.07,0.0137647119776115,0.0107474645700394,0.00405738010179848
