"","beta.pooled","tau","tauN.hat","tauB.hat","tauF.hat","biasBnor","biasBbin","biasF","mseBnor","mseBbin","mseF","RhatN","RhatB","alphaBin","alphaNor","alphaF","betaBin","betaNor","betaF","MCseBin","MCseNor","MCseF"
"1",0.03,0.06,0.0759926783380293,0.0637388076516305,0.0552717867421878,-0.00509739585363596,0.0039589023650448,0.0021932271536473,0.000476369288365008,0.000424690543742283,0.000307434064676119,1.00151821326616,1.00240228061362,NA,NA,NA,0.65,1,0.37,0.00203260701336263,0.00213292099205453,0.00174837245913011
"2",0.03,0.03,0.105915493373022,0.0323884261721485,0.0294325112111439,-0.00185740948330426,0.000934048688399216,0.000754356411825613,0.000143297411926316,0.000182407737951758,0.000111712523136311,1.00138536763281,1.00375379530914,NA,NA,NA,0.37,1,0.09,0.00135413803139685,0.00118852868018092,0.001059557128468
"3",0.03,0.01,0.141532281589905,0.0170393859397686,0.0129505394637945,-4.82455534495108e-05,-0.000240209196103555,-0.000676303108839538,4.26515325401579e-05,6.65234673056447e-05,3.51443037330463e-05,1.00155527559985,1.00534411989133,NA,NA,NA,0.09,1,0,0.000819372554031757,0.000656353601013152,0.000591923058728709
"4",0.03,0.005,0.150935065619744,0.0143436853006992,0.00969984405237374,-0.00111941660127424,-0.00104198875554513,-0.000568255504353257,3.02953421088532e-05,4.79713137739194e-05,2.63905366913538e-05,1.00141058355118,1.00626184599719,NA,NA,NA,0.07,1,0,0.000688179953615294,0.000541623528181005,0.000513136742886595
"5",0.03,0.001,0.162224390829795,0.0125804282042804,0.00692614077729099,0.000644139831970779,0.00181904905294909,-4.16418305395523e-05,2.55135140595519e-05,3.93054072104071e-05,1.74539702258739e-05,1.00140943218977,1.00830855440398,NA,NA,NA,0.01,1,0,0.000602993104751204,0.000503508879044824,0.000419863327736553
"6",0.1,0.06,0.058358920889714,0.0643587467552323,0.0566152559151574,0.00255040129224013,0.00411273369891163,-0.0015768594203155,0.000481338966705084,0.00049449583637915,0.000356253991904218,1.00145115264251,1.00427642362891,NA,NA,NA,0.03,0.81,0,0.00219637271657407,0.00219004732192225,0.00189034630538177
"7",0.1,0.03,0.0754418368562197,0.0361952541243807,0.0313158640673561,0.00332533637703962,0.00108014820298288,-0.000719920134444219,0.000209022432917241,0.000281398973161047,0.000165593934156566,1.00132821519898,1.00571082659174,NA,NA,NA,0,1,0,0.00168244727061216,0.00141408703065635,0.0012912903622197
"8",0.1,0.01,0.0957003186434079,0.0226461781291792,0.0135680276112769,0.00238644720265312,-0.000143191439398518,-0.00271831277634255,6.88488022041064e-05,0.000118854251508081,7.32165318338492e-05,1.00144328417703,1.00595000499606,NA,NA,NA,0,1,0,0.0010956006964484,0.00079869636177567,0.00081542767785769
"9",0.1,0.005,0.103373467407931,0.0189588510308165,0.011705731234343,0.00293220233083274,-0.000950242495925346,-0.00294616049562887,7.89766450329341e-05,0.000118380360485965,8.94944414904268e-05,1.00139091143396,1.00930106358262,NA,NA,NA,0,1,0,0.00108933025334726,0.000843147269712814,0.000903498138966196
"10",0.1,0.001,0.109661898447269,0.0198753583137017,0.0138118002162122,0.00253565453114105,-0.000687399502386388,-0.00435520249862141,5.93473949611283e-05,8.47991775304816e-05,8.33460333668949e-05,1.00142403123048,1.01046741550515,NA,NA,NA,0,1,0,0.000922921686241774,0.000731111310320879,0.000806402690109054
