"","beta1.pooled","tau","tauN.hat.tauN","tauB.hat.tauB","tauF.hat1.tauF1","biasBnor1.BayesN1","biasBbin1.BayesB1","biasF1.Freq1","mseBnor1","mseBbin1","mseF1","RhatN1.RhatN1","RhatB1.RhatB1","alphaBin1","alphaNor1","alphaF1","powerBin1","powerNor1","powerF1","MCseBin1","MCseNor1","MCseF1","beta2.pooled","tau","tauF.hat2.tauF2","biasBnor2.BayesN2","biasBbin2.BayesB2","biasF2.Freq2","mseBnor2","mseBbin2","mseF2","RhatN2.RhatN2","RhatB2.RhatB2","alphaBin2","alphaNor2","alphaF2","powerBin2","powerNor2","powerF2","MCseBin2","MCseNor2","MCseF2"
"S1RRspline",0,0.001,0.176288898699924,0.0121175288953486,0.0193032589803416,-0.0271714919546278,-0.000318068562208607,2.19146037620528e-05,0.0098586074568603,6.88079308951309e-05,4.81654957458752e-05,1.15624293847074,1.06745621448543,0.03,0,0.02,NA,NA,NA,0.000833071251423392,0.00959814664444557,0.000697506493188828,0,0.001,0.0523488588642641,0.0472899919775529,0.00605047753817292,0.000435305168448094,0.0956396685059743,0.001566055874283,0.000373469866171052,1.20954482558146,1.15627092321491,0.03,0,0.07,NA,NA,NA,0.00393051721972775,0.030715923084891,0.0019417798135361
"S2RRspline",0.02,0.001,0.16003353694744,0.0134402036714613,0.018682721456769,-0.0310216652936062,-0.00045257313053566,0.000513880072833203,0.00889394657771285,8.25168222328511e-05,7.2414863106009e-05,1.13823062636427,1.06892360474805,NA,NA,NA,0.46,0,0.71,0.000911830215203058,0.00895082122530197,0.000853695415468219,0,0.001,0.0492712967669059,0.0740870615128812,0.00582741286263817,-0.00217399317960794,0.0804463950442466,0.00335302360673181,0.000677085672032749,1.20498157724096,1.14980693922501,0.04,0,0.09,NA,NA,NA,0.00579015610652956,0.0275162949630077,0.00260605244582328
"S3RRspline",0.04,0.001,0.134040334809973,0.0169722227389307,0.0211742412344899,-0.0296222805283252,-0.0026745713423374,-0.00165588750797704,0.00714820978786387,0.000153657552572798,9.67222514009328e-05,1.11410920647561,1.08219053958912,NA,NA,NA,0.82,0,0.93,0.00121648699672768,0.00795868770219447,0.000974318140033619,0.02,0.001,0.05644442094702,0.0752201400631103,0.0169005136149492,0.00235336203554692,0.0838387357044526,0.00469376362024893,0.000657485564228088,1.15406461441398,1.19008995221041,NA,NA,NA,0.07,0,0.22,0.00667282765301691,0.028101667198347,0.00256618895860968
"S4RRspline",0.06,0.001,0.111486420945305,0.0203516930139576,0.0225462376658632,-0.0099581396337859,-0.000520034708361559,-0.00236422475483977,0.00297988530250181,0.000218893726148281,0.000182441894520888,1.11974815266762,1.10164215873175,NA,NA,NA,0.93,0,0.97,0.00148604039686509,0.00539427376669547,0.0013365579787652,0.05,0.001,0.0669422825073596,0.0269157529810279,0.00268735691912269,0.00186375438344549,0.0353660326626628,0.00354069196507768,0.000948996705832894,1.15939249235432,1.20486490016135,NA,NA,NA,0.08,0,0.57,0.00597424614057295,0.0187060123495492,0.00309042693502338
"S5RRspline",0.1,0.001,0.0979063939894182,0.0239153059150418,0.0273664732831528,-0.0177819443289951,0.000512579737279542,-0.00440240062949934,0.00336117139078169,0.000321316713273881,0.0002055224398952,1.14217390189641,1.07406692218779,NA,NA,NA,1,0,1,0.00180082465757817,0.00554592747720763,0.00137120940716906,0.03,0.001,0.0777676036863181,0.0600729973076922,-0.00636783287664594,0.00364795215949097,0.0369857163063732,0.00547669409509004,0.000938062083715316,1.19733219819824,1.17925159787988,NA,NA,NA,0.05,0,0.18,0.00741016555353246,0.0183613976110409,0.0030562975699256
"S8RRspline",0,0.03,0.0952395829033556,0.0383289538416813,0.0349694216536789,-0.00908531673907208,0.0020469208515779,-0.000930314940018794,0.00390441280879835,0.000383961725798838,0.000223287016436598,1.08257710693628,1.0480447660054,0.02,0,0.06,NA,NA,NA,0.00195859112636221,0.00621327174224016,0.00149889363423738,0,0.03,0.0837361738568125,0.00529384840428823,-0.0140730472518893,0.00473719563527373,0.0315428605893918,0.0100442921386588,0.00174053987329082,1.11280005391315,1.13498575829592,0.04,0,0.08,NA,NA,NA,0.00997281227355072,0.0178418517628614,0.00416587732014575
"S9RRspline",0.02,0.03,0.0880320009562032,0.0377081282572915,0.0323352563136778,-0.0182182464085729,-0.00103475548221186,0.000488150137021168,0.0030153073857118,0.000493597093835369,0.000340329393846132,1.12273437745089,1.06139460852261,NA,NA,NA,0.11,0,0.31,0.00223047391559632,0.00520625389617114,0.00185344643019282,0,0.03,0.0858917998995024,0.0477966575051487,0.0117684472367256,0.00365774289310067,0.0343172651820028,0.0107514403704339,0.00224876292900109,1.14864754280513,1.14308648780148,0.08,0,0.08,NA,NA,NA,0.0103538135364794,0.0179878591809172,0.00475180332162057
"S10RRspline",0.04,0.03,0.0777236546916057,0.0407970027512409,0.0361462981536109,-0.0122422488775103,0.0011647909489836,-0.002884700457635,0.00270990206301374,0.000710347511260427,0.000466352022451129,1.15293798388939,1.05883417675839,NA,NA,NA,0.36,0,0.51,0.00267610219585926,0.00508516301441558,0.00215094652813064,0.02,0.03,0.105541631310362,0.0337868128763381,0.0151357894421448,0.00591735689349519,0.0210768925441431,0.0724008988380662,0.0020254917972461,1.19416824082056,1.15695073608505,NA,NA,NA,0.08,0,0.11,0.0270001509004442,0.014190387918973,0.00448395195083365
"S11RRspline",0.06,0.03,0.0651548938084184,0.0460098028171228,0.0439376445341542,-0.00634539608249416,0.00181760708050862,-0.00396821268434368,0.00176649744482086,0.000735393682781493,0.000601449136725201,1.1263443107764,1.04586889904223,NA,NA,NA,0.53,0,0.67,0.00271934704596299,0.00417572759446821,0.0024323211361296,0.05,0.03,0.136083813673189,0.0317811369515602,0.0132186309137659,0.00657032711490273,0.0198679209655767,0.0128492508795293,0.00363943607170381,1.15966245688762,1.11753824607712,NA,NA,NA,0.03,0,0.23,0.0113148327948183,0.0138015810467617,0.00602709946933033
"S12RRspline",0.1,0.03,0.0588349681336522,0.0484054936036688,0.0437502028962844,0.000551733574431612,0.00259619430139447,-0.00714449471900068,0.00217322730254052,0.00110264217081886,0.000481374855908001,1.1333526193274,1.10018467471179,NA,NA,NA,0.85,0,0.98,0.00332711836668642,0.00468494568665451,0.00208489287353642,0.03,0.03,0.140718707912018,0.0240379010517539,0.00737169143277191,0.0144752084300332,0.0231901356954249,0.0182893175609134,0.00455771400265786,1.16780895532083,1.2171537138999,NA,NA,NA,0.03,0,0.22,0.0135717233247428,0.0151131473329544,0.0066272946043905
