"","true.beta","BayesBbias","BayesNbias","Freqbias","BayesBcover","BayesNcover","Freqcover","BayesBmse","BayesNmse","Freqmse","BayesBpower","BayesNpower","Freqpower","BayesBse2mean","BayesNse2mean","Freqse2mean","mcse.biasB","mcse.biasN","mcse.biasF","RhatB","RhatN","true.tau","tau.hatB","tau.hatN","tau.hatF"
"1",0,0.000299272068544546,-0.00278162417234006,-9.39763668913117e-05,0.97,1,0.9,4.96188421476417e-05,4.69408625953666e-05,1.46732633462001e-05,0.03,0,0.1,7.16247078809156e-05,0.0483560808970457,1.33082696507462e-05,0.000707315870865406,0.000629280730653593,0.000384870853174008,1.00813733894452,1.0017776480218,0.001,0.0142022694105413,0.148724624601178,0.00925839436816895
"2",0.02,-1.67707373678856e-05,-0.0011213174115253,-6.97495739946076e-05,0.97,1,0.87,6.88152338341806e-05,2.73577398932999e-05,2.31057805108591e-05,0.57,0,1,9.5233166839046e-05,0.038023470510329,1.69219653832298e-05,0.000833726892379183,0.000513459126223424,0.000483055463571974,1.01065179198118,1.00180725632957,0.001,0.0160892345068674,0.137500615525469,0.0106477892178763
"3",0.04,-0.0014045740310826,-0.000665235737617134,2.45472608974787e-05,0.97,1,0.88,0.000105208120011989,3.15395008942971e-05,3.28171415169706e-05,0.94,0,1,0.000133617114757609,0.0303826313199614,2.01185567915388e-05,0.00102116635534315,0.000560455823754868,0.000575743164443631,1.00793088473757,1.00182210834474,0.001,0.0198245001404526,0.127378496154878,0.011014726310576
"4",0.06,-0.00154190003166239,-6.78548928108e-05,-0.00159494939816895,0.95,1,0.83,0.00011140873069381,4.2097478420536e-05,3.82851903786065e-05,0.99,0,1,0.000162322195242841,0.0240854741239858,2.32134798451073e-05,0.00104944080822184,0.000652058698898085,0.000600852313791632,1.0091326446945,1.0014931239697,0.001,0.0207855341390661,0.117016717660646,0.0115584613395267
"5",0.1,-0.00131344093521847,0.00241237723163534,-0.000601625705255678,1,1,0.86,0.000137393660328339,5.70392961329778e-05,5.64357114672712e-05,1,0,1,0.000260272335772438,0.0156516857648139,3.6288887796557e-05,0.00117063624778433,0.000719285084356986,0.000752596569044695,1.00734969327502,1.00165592322514,0.001,0.0279038209228718,0.0987436213634521,0.0158645846756515
"6",0.2,-0.00680519628949132,0.0107835835210077,-0.00561050103196586,0.91,1,0.78,0.000642982925080953,0.000404577260884956,0.000247590452150348,1,1,1,0.000690317910137629,0.00540173841347505,0.000106917873764727,0.0024549933212739,0.00170646893779543,0.00147748328989733,1.00712145223119,1.00158417441553,0.001,0.0445409460339755,0.0621054506397838,0.0310942274788044
"7",0,0.00271264904210684,-0.00282923456653341,0.002733185140633,0.96,1,0.92,0.000192668250452781,9.72029398792598e-05,8.24347007158569e-05,0.04,0,0.08,0.000226133277470185,0.0193047004890955,6.99317645664138e-05,0.00136814327335836,0.000949206854693908,0.000870181681383231,1.00559579557548,1.0015228634385,0.03,0.0326763265103026,0.107287590098062,0.0304116425621328
"8",0.02,-0.000560048926599724,-0.00380320116615889,0.00035887266820983,0.97,1,0.97,0.000202633351433696,0.000127489834859894,8.20263716000482e-05,0.21,0,0.68,0.00028255934135056,0.0162396109295007,7.92901354701603e-05,0.00142955702905774,0.00106849037161717,0.000909531914289828,1.00498946665788,1.00158173836138,0.03,0.0363888014228878,0.100044263137361,0.0322154484206675
"9",0.04,-0.00286486127686921,-0.00390567744038863,-0.000551387790744046,0.97,1,0.95,0.000284006881260096,0.000149114173243956,0.000103876251248736,0.55,0,0.99,0.000355005229487062,0.0133351293306432,8.81620496645655e-05,0.00166908748771912,0.00116280684872005,0.00102283139774435,1.00385318354018,1.00158464366056,0.03,0.0408756510132007,0.0921237233713529,0.0336445784225093
"10",0.06,-0.00334336919759351,-0.0017592702847484,0.00107967973904287,0.98,1,0.93,0.000316933733983997,0.00012524677269805,0.000117149112791019,0.85,0,1,0.000379568418670004,0.0111836115871848,8.62894826206193e-05,0.00175739596267376,0.00111079069464304,0.00108238142072026,1.00559366158825,1.00139541641723,0.03,0.036033079454589,0.085639895628747,0.0317408067344853
"11",0.1,0.00308157742817891,0.00678989980119588,0.00243528191914476,0.95,1,0.89,0.000566550012438265,0.000222288116436939,0.000189454276421408,0.98,0,1,0.000579264507369401,0.00758912014549114,0.000116114263494151,0.00237208916356938,0.00133403533461699,0.00136153388839553,1.00623357738807,1.00157551932922,0.03,0.044883124180831,0.0726317134968723,0.0363323857588891
"12",0.3,-0.0085776610726437,0.0192558700381942,-0.00807117425273029,0.97,1,0.84,0.000756822616029157,0.000749642920504724,0.000370076466630101,1,1,1,0.000979403402635373,0.00406316618781853,0.000200198465478966,0.00262706647194168,0.00195622391763526,0.00175502917415725,1.00851125557166,1.00173076991912,0.03,0.0555883349987107,0.0556034142217889,0.051660497625135
