"","true.beta","BayesBbias","BayesNbias","Freqbias","BayesBcover","BayesNcover","Freqcover","BayesBmse","BayesNmse","Freqmse","BayesBpower","BayesNpower","Freqpower","BayesBse2mean","BayesNse2mean","Freqse2mean","mcse.biasB","mcse.biasN","mcse.biasF","RhatB","RhatN","true.tau","tau.hatB","tau.hatN","tau.hatF"
"1",0,-0.000778458455822454,-0.00159591818618744,0.0019315128973179,0.98,1,0.95,0.000577977332995425,0.000139260960764975,9.95838660178162e-05,0.02,0,0.05,0.000806818636967449,0.00460540292423843,9.51764500542572e-05,0.00241496039122627,0.00117513810023587,0.00098397833979461,1.00782155683897,1.00159524670976,0.001,0.0473479576640439,0.0578846059133794,0.00992363287688796
"2",0.02,-0.00380057635601962,-0.0016796673097074,0.000851503364707185,0.99,1,1,0.000554271693039896,0.000135441605208839,5.24609241435638e-05,0.05,0,0.62,0.000760134348028963,0.00477371168418279,8.58716765250112e-05,0.00233512336620003,0.00115741056742683,0.000722900066884474,1.00971365298047,1.00153887803868,0.001,0.0441224153411771,0.0588906768522785,0.008349818585921
"3",0.04,-0.000813378306639742,4.39325349802314e-05,0.00112812138990254,0.98,1,0.95,0.000462199040107977,0.000139041553037351,8.90841210722723e-05,0.27,0,1,0.000724431791974348,0.00498305253006798,8.39925064848977e-05,0.00215916523300483,0.00118509098218567,0.000941798533013849,1.00772951927663,1.00155835509757,0.001,0.0438810234640375,0.0599094884920634,0.00995103303987488
"4",0.06,-0.00377963102817074,-0.000155265987181909,0.00129788719218273,0.94,1,0.95,0.000761530992255061,0.000185463682023676,7.32620955352055e-05,0.62,0,1,0.000690213382475984,0.00512754838587841,7.79272036949353e-05,0.00274735020463879,0.00136862230550295,0.000850297537773201,1.00762290071816,1.00156815712725,0.001,0.0424030959530824,0.0605299747444151,0.00890844751538391
"5",0.1,-0.00613445995468292,5.49610309820521e-05,0.000549898765057452,0.99,1,0.94,0.000454599301451584,0.000114033238159637,7.311547003306e-05,0.98,0,1,0.000682721533317337,0.00547132141472472,7.40591958395204e-05,0.00205226581487605,0.00107322894958597,0.000857604611996495,1.00942779351452,1.00157141371092,0.001,0.0435227036877519,0.0625076715167832,0.011274960440896
"6",0.2,-0.00243683139586536,0.00315992741053227,0.00206319980499222,0.99,1,0.95,0.000405938115290391,0.000126650005215019,6.45095260090747e-05,1,1,1,0.000647284977035573,0.00585368311940979,5.52444440080961e-05,0.00201007555021217,0.00108555652521935,0.000780136821551808,1.00719871309181,1.00155113487134,0.001,0.0430313195937604,0.0646922494707372,0.00592191678821885
"7",0.3,0.000100734694312837,0.00399277494483791,0.000647995288195342,0.98,1,0.94,0.000336009992962778,0.000113175740397632,5.48481613849347e-05,1,1,1,0.000576305566730856,0.00594544669658641,5.58487430916896e-05,0.00184226432228742,0.000991038067323302,0.000741471806144499,1.01134053536571,1.00157695639584,0.001,0.0388063845836708,0.0648746323915293,0.00775062540363113
"8",0,-0.00401749898299732,-0.00419375170482414,0.00395870727568192,0.98,1,0.9,0.000529358768298657,0.00017903789091023,0.000145934176244948,0.02,0,0.1,0.000843524267299448,0.00461199134793963,0.000129581755791759,0.00227684539477759,0.0012770322980994,0.00114707715058669,1.00719171413954,1.00172311364898,0.03,0.0519037725452012,0.0582849191433307,0.0253530107395796
"9",0.02,-0.00110748908178779,-0.00203011842167801,0.00305983590249817,0.94,1,0.93,0.000716718488633398,0.000178091464711515,0.000131558489053915,0.09,0,0.57,0.000795893599076007,0.00475911011846138,0.000121268975791489,0.00268834363139758,0.00132562195772506,0.00111099142776288,1.00682042999444,1.00156170773052,0.03,0.0512706676662272,0.0588637179197806,0.0253950108658488
"10",0.04,0.000529912895626398,-0.000583061267426773,0.00384541470077632,0.97,1,0.91,0.000551850641651635,0.000153145818518149,0.000132941874257236,0.32,0,0.99,0.00077581674510267,0.00493027944642652,0.000113457676256644,0.0023603839654579,0.00124237414490362,0.00109246574981002,1.00636596537941,1.00150056148301,0.03,0.0497636124319767,0.0599314346980737,0.0253085936304601
"11",0.06,0.00151107790256987,0.00279776153265324,0.00619070838398454,0.95,1,0.89,0.000631563637895204,0.000192419351108592,0.000159315147358255,0.59,0,1,0.000792253881367674,0.00510969256459751,0.000113611530623977,0.00252118354735834,0.00136549055644755,0.00110549717807624,1.00668320021367,1.00152184224897,0.03,0.0512561597254052,0.0610143257365415,0.0258156286496416
"12",0.1,0.00108864444988757,0.00174867144471016,0.00308539591942727,0.97,1,0.98,0.000551275510759124,0.000164459291936546,9.3520160789153e-05,0.98,0,1,0.000740983809261104,0.00544721889183493,0.000100096738573068,0.00235721622331151,0.00127683890014332,0.000921135074980285,1.00669246735567,1.00159661468571,0.03,0.0489965669886046,0.0625469697530498,0.0235251003400375
"13",0.2,-0.00144438820294492,0.00276002622268502,0.00154658450088969,0.92,1,0.94,0.000619779862788354,0.000202123224772005,0.000103893344129886,1,1,1,0.000653370190120464,0.00586235335080521,0.000100138435708473,0.00249786495803138,0.00140167821499979,0.00101255462758978,1.00748876192243,1.00154591812578,0.03,0.0462904112313126,0.0646983301874812,0.0278829364346861
"14",0.3,0.00297427218059552,0.005385127830692,0.00183485376484177,0.98,1,0.9,0.000453378155288603,0.000200860900225391,0.000105793489556183,1,1,1,0.000618498938740106,0.00591862866434767,0.000102313563058644,0.0021190141129669,0.00131756317186062,0.00101715984668854,1.00730623407258,1.00166247647831,0.03,0.046052261513702,0.065067629114109,0.028979874730815
