"","true.beta1","BayesB1bias","BayesN1bias","Freq1bias","BayesB1cover","BayesN1cover","Freq1cover","BayesB1mse","BayesN1mse","Freq1mse","BayesB1power","BayesN1power","Freq1power","BayesB1se2mean","BayesN1se2mean","Freq1se2mean","mcse.biasB1","mcse.biasN1","mcse.biasF1","RhatB1","RhatN1","true.beta2","BayesB2bias","BayesN2bias","Freq2bias","BayesB2cover","BayesN2cover","Freq2cover","BayesB2mse","BayesN2mse","Freq2mse","BayesB2power","BayesN2power","Freq2power","BayesB2se2mean","BayesN2se2mean","Freq2se2mean","mcse.biasB2","mcse.biasN2","mcse.biasF2","RhatB2","RhatN2","true.tau","tau.hatB","tau.hatN","tau.hatF","tau.hatF.1"
"1",0,0.000907750323275374,-0.0130859819046178,0.00578383580351034,1,1,0.98,0.000671458703185534,0.00332613721404033,0.000409722868209011,0,0,0.02,0.000957081761582875,0.0244803892390358,0.000497929184589265,0.00260270778294361,0.00564514119463787,0.00194954050946651,1.17407588048242,1.18303032495418,0,-0.0914309211719414,0.028201803313944,-0.00744298819509651,0.89,1,0.97,0.435810746245248,0.0231713639741223,0.0013030596176994,0.11,0,0.03,0.659167059069046,0.158922733109175,0.0017499150475341,0.0657091181732032,0.0150339757519003,0.00355001998063385,2.97950946041657,1.21826916206553,0.001,0.0466369630190613,0.0577317369488128,0.0238722298399786,0.0420219619341689
"2",0.02,-0.00207011603099378,-0.0152967848721683,0.00328088229065985,0.99,1,0.97,0.00066983110943964,0.00251806718233032,0.000389495228562579,0.07,0,0.14,0.000942103949104507,0.026068474116587,0.000472235748545479,0.00259281394085607,0.00480327703256484,0.00195590543231923,1.1816029091159,1.18897039990449,0,-0.00814038501068382,0.0295068239759785,-0.00506049339412172,0.95,1,0.97,0.311950128078021,0.017538904088473,0.00160907055563928,0.05,0,0.03,0.780711456511115,0.20288559451855,0.00194564002076509,0.0561279078758885,0.0129755992552781,0.00399932060170544,3.04030028871261,1.24785218302639,0.001,0.0474956398361805,0.0598762191190021,0.0218095666472875,0.0441265616456396
"3",0.04,0.00259033645283352,-0.0115907870697674,0.00421535799817198,0.99,1,0.96,0.000609461821486963,0.00343949946738543,0.000437521841528277,0.28,0,0.54,0.00090914983582791,0.0287035498377286,0.000464550108759259,0.00246746911302209,0.0057780087465877,0.00205910787408686,1.14392343003975,1.1633476822423,0.02,-0.079121778573791,0.0257016053683625,-0.00787397331405884,0.97,1,0.94,0.34945530635507,0.0282985527022311,0.0015550651559038,0.03,0,0.09,0.626398812121384,0.202749265106335,0.00169403294351667,0.058877981213881,0.0167084265269735,0.00388348705659232,2.70626219800666,1.19308810281428,0.001,0.0475815124532823,0.0612872791052639,0.0249413675908457,0.0409352616859631
"4",0.06,-0.00623907236147731,-0.0136568150870821,-0.000551484606968125,0.97,1,0.94,0.000763953417993092,0.00355519159850434,0.00044174369478484,0.46,0,0.78,0.000938030642344859,0.0303962951619177,0.000450774738884886,0.00270619826156966,0.00583327532454411,0.00211163099277015,1.2040994241175,1.23669553764389,0.05,-0.0620643658855939,0.0279504507981467,0.00573995675764323,0.93,1,0.95,0.332643184765714,0.0335892202901039,0.00171888195711574,0.05,0,0.28,0.76519090179484,0.222036590111449,0.00166810384759323,0.0576291872645893,0.0182042265572676,0.00412669904223865,2.97335668867252,1.28022428696122,0.001,0.0468843294950581,0.0628239580071968,0.0231207040916297,0.0393967918210494
"5",0.1,0.00367887991476126,-0.00912267076418205,0.00465870927822559,1,1,0.98,0.000554251724021039,0.00264508830756944,0.000335587391705092,1,0,1,0.000895331844093477,0.0320169815570918,0.000422625888692862,0.00233704805298428,0.00508698595615904,0.00178060204200166,1.21448110879322,1.20375327886159,0.03,-0.0376399414817302,0.032254698339869,-0.00148192543309299,0.97,1,0.98,0.404991238281124,0.0211635313047141,0.00079493211010611,0.03,0,0.1,0.613044178828139,0.206569134955584,0.00123674890850824,0.0638475514734537,0.0142570789575282,0.0028297410509306,3.04663501867696,1.23107213146933,0.001,0.0459269504564769,0.0638259240716658,0.0231098512371224,0.0340932961466522
"6",0.2,0.00429516563874752,-0.00789022455993993,0.00580310749420352,1,1,0.96,0.000455875515424827,0.00365816527965944,0.000291712332025631,1,0.03,1,0.000824543222221161,0.0349266885614169,0.000371606274206401,0.00210201218547475,0.00602680010918668,0.00161444325530803,1.1744305022079,1.2480877296594,0.1,-0.091225843051835,0.0305843866003877,-0.00773027315848953,0.95,1,0.97,0.358324061133424,0.0356158084840913,0.000952812924985183,0.05,0,0.8,0.587471378878634,0.255612156355775,0.00122147076982667,0.0594590009576165,0.0187164929645652,0.00300345895186846,2.69114580751769,1.31853638474961,0.001,0.0450712836980058,0.0658126703706726,0.0216503319697161,0.0336774903800528
"7",0.3,0.00654025036128204,0.00513763483161708,0.00575171492703786,0.99,1,0.96,0.000586514183575442,0.00351820897366366,0.000323374343410582,1,0.33,1,0.000797883015444837,0.0346308969181264,0.000353997537011682,0.00234356912643423,0.00593892627271407,0.00171237952111383,1.15875989979738,1.18576688661122,0.2,-0.256171666622494,-0.017193601968003,-0.00865803628955006,0.96,1,0.99,0.384178317359232,0.0325952559164989,0.000962323123701512,0.02,0,1,0.512284427131759,0.244112713016117,0.00125649789512615,0.0567249606202112,0.0180626395958717,0.00299386836567903,2.73126318180783,1.22797093632558,0.001,0.0438818781123139,0.0644657821869341,0.0209273583980478,0.0330846659885715
"8",0,-0.00302262921145294,-0.0131394351529789,0.0046192747513618,0.99,1,0.98,0.000679471380170118,0.00268496097360699,0.000460898329845843,0.01,0,0.02,0.00116535580189944,0.029133343102471,0.00064487592035187,0.00260212635043694,0.00503755213269026,0.00210713226207361,1.2163915446904,1.21901440454982,0,-0.0577190311233708,0.0111050952584018,-0.00903429937750299,0.97,1,0.97,0.519331963249572,0.0211512910443686,0.00188195741515787,0.03,0,0.03,1.04042249304028,0.180739898001792,0.00242112891135893,0.0721950554209207,0.0145740768557975,0.00426441565847392,2.80325285257704,1.24371701595424,0.03,0.0598532070181707,0.0579522043144277,0.044307504557401,0.075111913817411
"9",0.02,-0.000510285177018708,-0.00911774847765698,0.00263648520004735,0.99,1,0.94,0.00063286254751288,0.00410509219274014,0.000491358292569305,0.06,0,0.13,0.00104344034509605,0.0270673384346525,0.000557540067883504,0.00252782926109387,0.00637384083772332,0.00221201320241744,1.16510018992109,1.19822200509887,0,-0.0697181185897622,0.0123475690109779,0.00259960050922332,0.95,1,0.98,0.423129520706203,0.0303426432559905,0.00162134267176384,0.05,0,0.02,0.828820852984923,0.172228401332202,0.00209152534456387,0.0649995263888345,0.0174628554700188,0.00403843247537262,2.65485335172096,1.22591160490666,0.03,0.0547873718526258,0.0600611101061791,0.0362329743558191,0.0611212614648351
"10",0.04,0.000771994675994481,-0.00700283879512137,0.00593602970210233,0.97,1,0.93,0.000802992427848471,0.00238994212088545,0.000623793744933799,0.23,0,0.56,0.00104343680025905,0.0264842617697337,0.000532515995653694,0.00284693074509386,0.00486266166638885,0.00243824182456253,1.24766633194804,1.17955449808126,0.02,0.00349624946590258,0.0151865467385165,-0.00386921102578409,0.94,1,0.97,0.524246788311495,0.0219800712501613,0.00202880676707996,0.07,0,0.07,0.972536225358001,0.189700948079997,0.00203530343959668,0.0727688025999465,0.0148219875057091,0.00451018597246738,3.12262377532516,1.21792079570772,0.03,0.055166574296695,0.0611397655759082,0.0378202297172495,0.0609837442788005
"11",0.06,0.00198607202727245,-0.0137060702639665,0.00345080422332412,0.97,1,0.96,0.000682936942463955,0.00387722819093253,0.000505218018714379,0.58,0,0.79,0.000993518078137609,0.0298266820284734,0.000549455564681254,0.00261887565582467,0.00610461973505423,0.00223224751742661,1.17216238362023,1.21914107679449,0.05,-0.1312798801092,0.0296699731325249,-0.00368065957780512,0.9,1,0.93,0.465225210402219,0.0298448751039611,0.00168830480969453,0.11,0,0.23,0.604990062722143,0.204520082941388,0.00193673717478898,0.0672693067536638,0.0171047184104791,0.00411299683654666,2.61253262180218,1.25635872287465,0.03,0.0524625905442048,0.0628546132044975,0.0404128121443828,0.062354559331166
"12",0.1,0.00291316032299184,-0.00961502641954363,0.00749962875357011,0.94,1,0.97,0.000912348507617775,0.00388603032693462,0.000590750581719213,0.91,0,1,0.000968473249173847,0.0292385749667243,0.000507971923094629,0.00302157562173811,0.00619023472889756,0.0023235860265995,1.19690830242504,1.19992939196377,0.03,-0.0523014214488659,0.0250266650911089,-0.00885684098008256,0.92,1,0.94,0.430296987584031,0.0384047479408021,0.00196667548114472,0.08,0,0.14,0.758713389048489,0.205472870565949,0.00187959587966269,0.0657176043707229,0.0195345883284966,0.00436727019770707,2.88315310530369,1.24522034828882,0.03,0.0536010362136076,0.0632199352431659,0.0407569316168016,0.0676859870283682
"13",0.2,0.0066334957033629,-0.00550600233381602,0.00649802788684817,0.99,1,0.92,0.000684532351790549,0.00436299598824631,0.000448990632461997,1,0.01,1,0.000854731254042078,0.0357803510926731,0.000450048570757181,0.00254361765467451,0.00661547002884059,0.00202700522003718,1.19332945824033,1.25111284775537,0.1,-0.184830372742756,0.0213746600529882,-0.0072254128355216,0.98,1,0.97,0.373929687680951,0.0335837153939072,0.00157888479766377,0.03,0,0.73,0.667942694885961,0.24755987002586,0.00144284961017687,0.0585832241468636,0.018292472178447,0.00392695709043294,2.74643441178768,1.30084767837249,0.03,0.0485904040040819,0.0661247683727537,0.035974791609909,0.0566937398994779
"14",0.3,0.00859050460971827,-0.00789861143409952,0.00488154666938912,0.98,1,0.95,0.000637600334719889,0.00300109984316311,0.000431719929598131,1,0.24,1,0.00079445923815048,0.0337060490666476,0.000408006332976164,0.00238641687636104,0.00544829857657946,0.00202980426909479,1.18439517918599,1.18622783658356,0.2,-0.243153052028334,0.0241406150650056,-0.0114068062692141,0.97,1,0.94,0.356145913320611,0.0212946751559193,0.00124432862271028,0.03,0,1,0.632056797622534,0.211517367038703,0.00121475414973549,0.0547743310273536,0.0144641339286207,0.00335479965748894,2.72715643169388,1.22968833288677,0.03,0.0472541373081719,0.0642822077125277,0.034891334068759,0.0466349309376506
