"","true.beta","BayesBbias","BayesNbias","Freqbias","BayesBcover","BayesNcover","Freqcover","BayesBmse","BayesNmse","Freqmse","BayesBpower","BayesNpower","Freqpower","BayesBse2mean","BayesNse2mean","Freqse2mean","mcse.biasB","mcse.biasN","mcse.biasF","RhatB","RhatN","true.tau","tau.hatB","tau.hatN","tau.hatF"
"unifInftau1",0.1,-0.0677484442435861,0.000162461047408139,0.00139736539051402,0.05,1,0.95,0.00475342354828209,0.000132902140300017,7.00739970063581e-05,0.6,0,1,0.000292701763342898,0.0056026236629611,6.8539450214079e-05,0.00128539523794639,0.00115852460469241,0.000829514686956343,2.16279224332046,1.00175613767183,0.001,0.0010008192225346,0.0651216026936772,0.0075657671616979
"unifInftau2",0.1,-0.000228732133305719,0.00162837893430323,0.00363480169859795,0.95,1,0.96,0.000504147641230336,0.000181819105187668,9.74419689001214e-05,0.98,0,1,0.000539099026539695,0.00545360994580862,0.000111587288324228,0.00225651765955736,0.00134527788888508,0.000922393600729414,1.006134864719,1.00181284281631,0.03,0.0300418066022055,0.0650093004177022,0.0292418104266129
"unifInftau3",0.1,-0.00303441757441306,-0.00416100369821704,-0.000668674863726436,0.95,1,0.96,0.000627052843242999,0.000280628255999727,0.000164667290395429,0.97,0,1,0.000668079132215275,0.00540521496075579,0.000177300096444572,0.00249817135793504,0.00163087106991892,0.00128794003688315,1.00265900179598,1.00173443079895,0.05,0.0498825538126356,0.0652257321928253,0.0454101508062742
"nortau1",0.1,-0.00349136310434266,0.000529188876149943,0.00116918158513584,0.99,1,0.96,0.00040554446409129,0.000101606272291437,7.12053472951394e-05,1,0,1,0.000565878592631797,0.00554070175460846,6.92326677828953e-05,0.00199330913070572,0.00101168042736783,0.000839903564186099,1.01453883492828,1.00173222456836,0.001,0.0297411770849732,0.0651656476532082,0.00880356066954956
"nortau2",0.1,0.00118049608988237,0.0034011577404508,0.00204657660282511,0.96,1,0.92,0.000378894177796759,0.000137497130027815,8.09226473558264e-05,0.98,0,1,0.000572537234334259,0.00542646355682084,7.25087904660011e-05,0.00195272564437695,0.00112783539907109,0.00088039345866869,1.01149679662995,1.00171578903838,0.01,0.0319737559239885,0.0645006362630432,0.0105883883215876
"nortau3",0.1,-0.00123080176032953,0.00180460143131604,0.00346333975847327,0.94,1,0.89,0.000569925090525491,0.000186808166962598,0.00014984771579369,0.99,0,1,0.000594262085335659,0.00550743100350781,0.000106537696320012,0.00239614635383833,0.0013616373856749,0.00118002308448173,1.01156824665584,1.00185723222067,0.03,0.0327586211472172,0.0653315027931398,0.0265945868595088
"nortau4",0.1,-0.000412877281308246,-0.00146920709029601,0.00268836969845483,0.94,1,0.92,0.000651660639070625,0.000264649174870158,0.000189404888147418,0.96,0.01,1,0.000639637138828493,0.00545388433778908,0.000192444351830689,0.0025652892238955,0.00162831822950094,0.00135653136288975,1.00896780552884,1.00178418198472,0.05,0.0391206634019359,0.0654384344260551,0.0477956432655006
"uniftau1",0.1,-0.00272641378268002,0.00183199967306085,0.00183209981106684,0.94,1,0.98,0.000518054577589064,0.000127358096979169,6.19735062810167e-05,1,0.01,1,0.000531280858800995,0.00554832011222313,6.97913605180649e-05,0.00227107691598723,0.00111917120388563,0.00076947388928801,1.01165866041777,1.00191414502572,0.001,0.0241848749320849,0.0650345648132895,0.00791990110069945
"uniftau2",0.1,-0.00401573505302441,0.00114119361979616,0.00120940933729282,0.96,1,0.97,0.000468560708191114,0.000119193886285481,5.74471269157806e-05,0.99,0,1,0.000520467871694381,0.00550633940484986,7.08443985252674e-05,0.00213776665340121,0.00109124876760719,0.00075199704471433,1.01434989557656,1.00184029181335,0.01,0.0240581925626633,0.0648145234409064,0.00949008495644805
"uniftau3",0.1,-0.00385208318895638,-0.000516529022615685,0.00122882418025323,0.9,1,0.93,0.000759736121603695,0.000215816347786086,0.000121542777409657,0.97,0.01,1,0.000534982973372972,0.00547269895406121,0.000111428637578081,0.00274303079577246,0.00147555689043764,0.00110111407561248,1.01082881376896,1.00177107958429,0.03,0.0257737846532105,0.0650927168374475,0.0284960590668556
"uniftau4",0.1,-0.00108555042404681,-0.00102715425605973,0.0039319022504841,0.95,1,0.92,0.000641735350512601,0.000292148844941472,0.000190023703097063,0.98,0,1,0.000542314945619026,0.00551057272455875,0.000193559540664964,0.00254367294048906,0.00171474237272115,0.00132788221985045,1.01097654602599,1.00183902014189,0.05,0.026720582308103,0.0657517647905546,0.0484302956806873
