,true.beta1,BayesB1bias,BayesN1bias,Freq1bias,BayesB1cover,BayesN1cover,Freq1cover,BayesB1mse,BayesN1mse,Freq1mse,BayesB1power,BayesN1power,Freq1power,BayesB1se2mean,BayesN1se2mean,Freq1se2mean,mcse.biasB1,mcse.biasN1,mcse.biasF1,RhatB1,RhatN1,true.beta2,BayesB2bias,BayesN2bias,Freq2bias,BayesB2cover,BayesN2cover,Freq2cover,BayesB2mse,BayesN2mse,Freq2mse,BayesB2power,BayesN2power,Freq2power,BayesB2se2mean,BayesN2se2mean,Freq2se2mean,mcse.biasB2,mcse.biasN2,mcse.biasF2,RhatB2,RhatN2,true.tau,tau.hatB,tau.hatN,tau.hatF,tau.hatF.1
1,0,-5.44E-05,0.01657554,0.005791945,0.97,0.998,0.956,0.000279028,0.002239478,0.000225967,0.03,0.002,0.044,0.000344157,0.010134772,0.000241749,0.000528493,0.001402389,0.000438877,1.115054009,1.568077247,0,-0.017316266,-0.063979134,-0.007734759,0.991,0.996,0.965,0.04063482,0.017718596,0.000701139,0.009,0.004,0.035,0.09040953,0.060094671,0.000840264,0.006354159,0.003693089,0.000801221,2.635713915,1.752342841,0.001,0.02909022,0.029447985,0.022125856,0.036940065
2,0.04,-0.000152231,0.016650739,0.004983284,0.959,1,0.939,0.000282755,0.002459704,0.000233342,0.619,0.009,0.872,0.000327532,0.010816447,0.000223592,0.000531992,0.001478053,0.000456856,1.119967429,1.607001628,0,-0.013760346,-0.062210847,-0.006452115,0.984,0.996,0.96,0.042530151,0.020721853,0.000743607,0.016,0.004,0.04,0.076163285,0.068059453,0.000749851,0.006510237,0.004107132,0.00083826,2.526232306,1.82316539,0.001,0.02783724,0.030224966,0.022405331,0.036764059
3,0.1,0.000884294,0.026792494,0.005277027,0.963,0.999,0.948,0.00027953,0.002991061,0.000214592,0.997,0.095,1,0.000336816,0.011729518,0.000199804,0.00052823,0.001508476,0.000432356,1.148784426,1.682282821,0.03,-0.042071445,-0.089046479,-0.007069982,0.987,0.993,0.949,0.036950154,0.025438546,0.000638101,0.008,0.004,0.169,0.087505521,0.078181793,0.000637878,0.005934253,0.004186502,0.000767271,2.685296071,1.919944585,0.001,0.027862822,0.030871465,0.022376123,0.035725959
4,0.2,-0.001505972,-0.003021548,0.005232024,0.967,1,0.94,0.000269049,0.002632456,0.000197523,1,0.384,1,0.000346695,0.013194351,0.000187194,0.000516767,0.001620479,0.000412698,1.144704511,1.596868897,-0.2,0.168082813,-0.004439693,-0.006717512,0.864,0.998,0.943,0.068169426,0.018980265,0.000560227,0.019,0.032,1,0.084198611,0.081829741,0.000568273,0.006321199,0.004356551,0.000718065,2.724721309,1.788258533,0.001,0.027049415,0.030958353,0.021854099,0.034469058
5,0.2,-0.003677334,-0.017527162,0.004872749,0.963,0.998,0.961,0.000280772,0.00283668,0.000192265,1,0.339,1,0.000343228,0.012714503,0.000190808,0.00051722,0.001591229,0.000410719,1.142645363,1.579576683,-0.3,0.25233482,0.032684008,-0.006533492,0.715,0.995,0.96,0.10581786,0.018642008,0.000592642,0.015,0.067,1,0.085192185,0.077359005,0.000623403,0.006495166,0.004194205,0.000741961,2.688925186,1.754429829,0.001,0.02688961,0.030255028,0.021129444,0.034644738
6,0,0.000375669,0.016033982,0.006011534,0.962,0.998,0.936,0.000300042,0.002467512,0.000260965,0.038,0.002,0.064,0.000347665,0.010377089,0.000248971,0.000547906,0.001487493,0.000474396,1.115720801,1.593356085,0,-0.023303432,-0.064754803,-0.007481066,0.984,0.993,0.951,0.039957484,0.019909908,0.000802431,0.016,0.007,0.049,0.084549978,0.062943756,0.000868599,0.006281233,0.003966416,0.000864414,2.575526969,1.782151265,0.01,0.029677342,0.029496197,0.026042201,0.042873426
7,0.04,0.000498897,0.018703266,0.005779724,0.961,1,0.932,0.000320198,0.002391648,0.000259245,0.614,0.011,0.868,0.000332822,0.010793691,0.000229237,0.000565923,0.001429643,0.000475464,1.128168889,1.585781347,0,-0.012891999,-0.066769341,-0.007181071,0.991,0.997,0.949,0.037174431,0.019190042,0.000755243,0.009,0.003,0.051,0.08559133,0.067113562,0.000752391,0.006086483,0.003840136,0.000839273,2.555749488,1.791100791,0.01,0.028283155,0.030163151,0.02487128,0.039850326
8,0.1,0.001385336,0.025006884,0.005537776,0.963,0.998,0.943,0.000263221,0.003070483,0.00021514,0.998,0.13,1,0.000328385,0.011562184,0.000204628,0.000511433,0.001564476,0.000429718,1.122939832,1.608622224,0.03,-0.046598674,-0.083861902,-0.007123888,0.988,0.996,0.942,0.037180584,0.026381741,0.000640171,0.011,0.002,0.164,0.075223315,0.075247856,0.000643597,0.005919813,0.004400942,0.000768122,2.53395967,1.821402566,0.01,0.027973441,0.030882704,0.023873761,0.037780053
9,0.2,-0.002170427,-0.009054889,0.004645964,0.965,0.999,0.941,0.000260324,0.002536222,0.000190276,1,0.363,1,0.000331551,0.013185533,0.000188972,0.000505835,0.001567383,0.000410926,1.136083227,1.625246655,-0.2,0.164181838,0.013613874,-0.005114648,0.823,0.998,0.959,0.072421249,0.018724793,0.000540807,0.02,0.015,1,0.084637334,0.082954538,0.000578562,0.00674619,0.004307901,0.000717748,2.554986565,1.8310816,0.01,0.027353813,0.03100801,0.023099871,0.036202454
10,0.2,-0.003561455,-0.018907414,0.004832555,0.959,0.999,0.944,0.000300776,0.002885398,0.000210647,1,0.319,1,0.000340935,0.012539076,0.000197618,0.000537011,0.001590735,0.00043299,1.145184358,1.559668261,-0.3,0.261894774,0.036869595,-0.00598092,0.693,0.995,0.953,0.111773344,0.018597354,0.000659127,0.018,0.076,1,0.085938772,0.076592518,0.000646679,0.006574777,0.004153943,0.000789924,2.682445567,1.737859655,0.01,0.027624417,0.03024334,0.024553204,0.039655509
