"","beta.pooled","tau","beta.pooled.hatBnor","beta.pooled.hatBbin","beta.pooled.hatF","tauN.hat","tauB.hat","biasBnor","biasBbin","biasF","mseBnor","mseBbin"
"1",0,0.001,-0.000625864542148378,-0.000602782549506777,-0.000596776249643813,0.00967680019292513,0.00587547566812756,0.000625864542148378,0.000602782549506777,0.000596776249643813,4.01070471315979e-07,3.7271084818727e-07
"2",0.05,0.001,0.0488479313038124,0.0493565823757192,0.0488713395985558,0.011912737660349,0.00781521885173104,0.00115206869618764,0.000643417624280794,0.00112866040144418,1.34145361259192e-06,4.28177571091571e-07
"3",0.02,0.001,0.0207981688319649,0.0203024618839655,0.0208372437704021,0.0100921422068885,0.00689525451023305,-0.00079816883196486,-0.000302461883965505,-0.000837243770402143,6.47258617752555e-07,1.01668324684369e-07
"4",0.03,0.001,0.0297433492413692,0.0297267012505547,0.0297627074572295,0.0105603004012887,0.00771868649524558,0.000256650758630777,0.000273298749445327,0.000237292542770468,7.70216063622992e-08,8.58442009049254e-08
"5",0.2,0.001,0.192032465765998,0.201169739730523,0.191708964928338,0.0218357034661928,0.0162964044444799,0.00796753423400229,-0.00116973973052326,0.00829103507166234,6.35292815645848e-05,1.41597083175097e-06
"6",0,0.01,-0.000317160660892745,0.000178293156109643,-0.000282508496309192,0.0140954879859145,0.0107562686511986,0.000317160660892745,-0.000178293156109643,0.000282508496309192,1.20459162974029e-07,5.16567276716434e-08
"7",0.05,0.01,0.0500145683534365,0.0509757262268404,0.0500634622661554,0.0146593815346055,0.0122053595394122,-1.45683534365434e-05,-0.000975726226840348,-6.34622661553688e-05,2.17019836195653e-08,9.73531416441816e-07
"8",0.02,0.01,0.018750539346014,0.0191330281849294,0.0188056410457568,0.013744649412544,0.0108601715203038,0.00124946065398603,0.000866971815070637,0.0011943589542432,1.58004346460657e-06,7.70531666874249e-07
"9",0.03,0.05,0.0354451597266499,0.0366472992267973,0.0355867863303384,0.0515510231616079,0.0534552730945399,-0.00544515972664995,-0.00664729922679729,-0.00558678633033836,2.99155152476314e-05,4.44523378094807e-05
"10",0.2,0.01,0.193135528374631,0.201086015737054,0.192965212080807,0.0276332795079702,0.0186863960940005,0.0068644716253693,-0.00108601573705394,0.00703478791919343,4.71973305091367e-05,1.25578999476538e-06
