"","beta.pooled","tau","beta.pooled.hatBnor","beta.pooled.hatBbin","beta.pooled.hatF","tauN.hat","tauB.hat","biasBnor","biasBbin","biasF","mseBnor","mseBbin"
"1",0,0.001,0.00317356051831359,0.000558861554333858,0.00356026141504009,0.02126164031307,0.0205015861155789,-0.00317356051831359,-0.000558861554333858,-0.00356026141504009,1.01166920982791e-05,3.57531971792692e-07
"2",0.05,0.001,0.0534614028918906,0.0515236595161539,0.053589726347268,0.0202009075511521,0.0194033583547581,-0.00346140289189065,-0.00152365951615389,-0.00358972634726798,1.2022117646578e-05,2.36234598775534e-06
"3",0.02,0.001,0.0245391963579113,0.0224626393261193,0.0248029516725939,0.0211372394166726,0.0200184057907282,-0.00453919635791129,-0.00246263932611929,-0.00480295167259394,2.06489818646909e-05,6.10927073956505e-06
"4",0.03,0.001,0.0322319049143427,0.0304714883170366,0.0325033840917361,0.0190080637985715,0.017752730555331,-0.00223190491434272,-0.000471488317036636,-0.00250338409173612,5.01753019560424e-06,2.58431882039095e-07
"5",0.2,0.001,0.200597680265787,0.19978513170837,0.200757898576117,0.0187334560578268,0.0170321010730725,-0.000597680265787159,0.000214868291629644,-0.000757898576116661,3.92315937698462e-07,8.12626203348945e-08
"6",0,0.01,0.00405893455555911,0.00140525699872499,0.00437720504292925,0.0220369663424046,0.020996572771471,-0.00405893455555911,-0.00140525699872499,-0.00437720504292925,1.65235125148695e-05,2.0233100210232e-06
"7",0.05,0.01,0.0520222430077827,0.0504513352077537,0.0522852513678196,0.0188222883448182,0.0178111601399661,-0.00202224300778273,-0.000451335207753735,-0.00228525136781955,4.12489463637967e-06,2.39131323611655e-07
"8",0.02,0.01,0.0221658729450531,0.019790461068091,0.0224160408693744,0.0200766771995945,0.0188666869581168,-0.00216587294505306,0.000209538931908962,-0.00241604086937442,4.73131291085048e-06,8.42138607232203e-08
"9",0.03,0.05,0.0322803266322264,0.0301473218667683,0.032488646887765,0.0204130745823996,0.018880402963224,-0.00228032663222642,-0.00014732186676834,-0.00248864688776499,5.24155891103173e-06,6.33730938187694e-08
"10",0.2,0.01,0.202293879579165,0.201453449232386,0.202490612370578,0.0175691499061442,0.0159448048926189,-0.00229387957916513,-0.00145344923238602,-0.00249061237057796,5.29275102655326e-06,2.14338217396598e-06
