"","beta1.pooled","beta2.pooled","tau","beta1.pooled.hatBn","beta1.pooled.hatBb","beta1.pooled.hatF","tau1n.hat","tau1b.hat","biasB1n","biasB1b","biasF1","mseB1n","mseB1b"
"1",0,0,0.001,0.0108367905045624,0.00155461153850011,0.0103536472596676,0.0103536472596676,0.0103536472596676,-0.0108367905045624,-0.00155461153850011,-0.0103536472596676,0.000117446748240933,2.42753683679545e-06
"2",0.05,0,0.001,0.0562453144179098,0.0510079331356794,0.0558322379766296,0.0558322379766296,0.0558322379766296,-0.00624531441790981,-0.00100793313567939,-0.00583223797662964,3.93156760583e-05,1.32765308574838e-06
"3",0.02,0.02,0.001,0.0244495197514708,0.0191560988179782,0.0245056845141423,0.0245056845141423,0.0245056845141423,-0.00444951975147076,0.000843901182021774,-0.00450568451414234,1.9858278876079e-05,7.72222062368414e-07
"4",0.03,0.05,0.001,0.0376456882116773,0.0306850438216444,0.0365217069095099,0.0365217069095099,0.0365217069095099,-0.00764568821167735,-0.000685043821644436,-0.00652170690950987,5.85899317377404e-05,6.02668545131628e-07
"5",0.2,0.03,0.001,0.206299974112502,0.201150049083904,0.205252337534357,0.205252337534357,0.205252337534357,-0.00629997411250241,-0.00115004908390356,-0.0052523375343568,4.39025260245323e-05,5.53546510171918e-06
"6",0.03,0.2,0.001,0.0399735350684472,0.0330517114388027,0.041172272851601,0.041172272851601,0.041172272851601,-0.0099735350684472,-0.00305171143880269,-0.011172272851601,9.96409173667227e-05,9.48245831089588e-06
"7",0,0,0.05,0.00742099057214613,0.00447692529005942,0.00595829024782309,0.00595829024782309,0.00595829024782309,-0.00742099057214613,-0.00447692529005942,-0.00595829024782309,5.50746511941495e-05,2.00464101750413e-05
"8",0.05,0,0.05,0.0575403344221156,0.0512704635725528,0.0575747804321714,0.0575747804321714,0.0575747804321714,-0.00754033442211561,-0.0012704635725528,-0.00757478043217143,5.71881287315228e-05,1.94556322336489e-06
"9",0.02,0.02,0.05,0.0300875621218501,0.0267366659492144,0.0283500916207359,0.0283500916207359,0.0283500916207359,-0.0100875621218501,-0.0067366659492144,-0.0083500916207359,0.000101839282331675,4.54630408807952e-05
"10",0.03,0.05,0.05,0.0384523963985929,0.0354472207113043,0.0376229391394484,0.0376229391394484,0.0376229391394484,-0.00845239639859292,-0.00544722071130431,-0.00762293913944839,7.15845534338957e-05,2.98137620326117e-05
"11",0.2,0.03,0.01,0.204201612220935,0.201199196494503,0.203933571798133,0.203933571798133,0.203933571798133,-0.00420161222093463,-0.00119919649450279,-0.00393357179813331,2.18124354257416e-05,5.59696240306221e-06
"12",0.03,0.2,0.01,0.0372369733785405,0.0328600222039584,0.037565253591062,0.037565253591062,0.037565253591062,-0.0072369733785405,-0.00286002220395838,-0.00756525359106197,5.251489850944e-05,8.32084183487104e-06
