,beta1.pooled,beta2.pooled,tau,beta2.pooled.hatBn,beta2.pooled.hatBb,beta2.pooled.hatF,tau2n.hat,tau2b.hat,biasB2n,biasB2b,biasF2,mseB2n,mseB2b
1,0,0,0.001,-0.027650519,-0.000492525,-0.02565211,-0.02565211,-0.02565211,0.027650519,0.000492525,0.02565211,0.000764617,3.08E-07
2,0.05,0,0.001,-0.018609017,0.002243799,-0.013550361,-0.013550361,-0.013550361,0.018609017,-0.002243799,0.013550361,0.000346314,5.05E-06
3,0.02,0.02,0.001,0.012206504,0.022454169,0.011225361,0.011225361,0.011225361,0.007793496,-0.002454169,0.008774639,6.08E-05,6.04E-06
4,0.03,0.05,0.001,0.015755228,0.050135582,0.018243472,0.018243472,0.018243472,0.034244772,-0.000135582,0.031756528,0.001172738,5.17E-08
5,0.2,0.03,0.001,0.019587821,0.029692881,0.025458981,0.025458981,0.025458981,0.010412179,0.000307119,0.004541019,0.000108478,1.59E-07
6,0.03,0.2,0.001,0.161612787,0.196951108,0.155825844,0.155825844,0.155825844,0.038387213,0.003048892,0.044174156,0.001476006,1.17E-05
7,0,0,0.05,-0.012347069,-0.00027282,-0.009174317,-0.009174317,-0.009174317,0.012347069,0.00027282,0.009174317,0.000152459,8.28E-08
8,0.05,0,0.05,-0.037925837,0.00287318,-0.052365418,-0.052365418,-0.052365418,0.037925837,-0.00287318,0.052365418,0.001438643,8.53E-06
9,0.02,0.02,0.05,-0.018426074,0.01318509,-0.008526314,-0.008526314,-0.008526314,0.038426074,0.00681491,0.028526314,0.00147657,4.65E-05
10,0.03,0.05,0.05,0.02216853,0.048678113,0.029490784,0.029490784,0.029490784,0.02783147,0.001321887,0.020509216,0.000774678,1.83E-06
11,0.2,0.03,0.01,0.020271553,0.033563317,0.030531603,0.030531603,0.030531603,0.009728447,-0.003563317,-0.000531603,9.47E-05,1.28E-05
12,0.03,0.2,0.01,0.182216049,0.196589053,0.179931156,0.179931156,0.179931156,0.017783951,0.003410947,0.020068844,0.000319506,1.49E-05
