"","beta1.pooled","beta2.pooled","tau","beta1.pooled.hatBn","beta1.pooled.hatBb","beta1.pooled.hatF","tau1n.hat","tau1b.hat","biasB1n","biasB1b","biasF1","mseB1n","mseB1b"
"1",0,0,0.001,-0.000237679640869524,8.00397394636156e-05,-0.00049879911790512,-0.00049879911790512,-0.00049879911790512,0.000237679640869524,-8.00397394636156e-05,0.00049879911790512,5.65164917398681e-08,6.43123994940575e-09
"2",0.05,0,0.001,0.0467760703727091,0.0492654883388425,0.0475090463383976,0.0475090463383976,0.0475090463383976,0.00322392962729093,0.000734511661157483,0.00249095366160238,1.06194331901227e-05,7.65218328774726e-07
"3",0.02,0.02,0.001,0.0201672525901746,0.019712178741619,0.0208008524035574,0.0208008524035574,0.0208008524035574,-0.000167252590174628,0.00028782125838096,-0.000800852403557435,7.12409749915801e-08,1.26108622847457e-07
"4",0.03,0.05,0.001,0.0294381192768114,0.0294642807248158,0.029453873569488,0.029453873569488,0.029453873569488,0.000561880723188572,0.000535719275184244,0.00054612643051204,4.02463013915651e-07,3.7374820862867e-07
"5",0.2,0.03,0.001,0.181277484871478,0.199990570525025,0.184332202819306,0.184332202819306,0.184332202819306,0.0187225151285219,9.42947497467594e-06,0.0156677971806937,0.000353930408837353,3.39792501462008e-06
"6",0.03,0.2,0.001,0.022193736280885,0.0290441009352385,0.0228297442748327,0.0228297442748327,0.0228297442748327,0.00780626371911503,0.000955899064761467,0.00717025572516732,6.09898729747371e-05,9.65862744377272e-07
"7",0,0,0.05,0.00238217033416566,0.00380361685885691,0.00267089043684902,0.00267089043684902,0.00267089043684902,-0.00238217033416566,-0.00380361685885691,-0.00267089043684902,5.67544886655148e-06,1.4468214574553e-05
"8",0.05,0,0.05,0.0467990975430757,0.0550070405237379,0.0470939737905955,0.0470939737905955,0.0470939737905955,0.00320090245692428,-0.00500704052373787,0.00290602620940447,1.04675607754828e-05,2.52922390430921e-05
"9",0.02,0.02,0.05,0.0210462970029183,0.0249864760490588,0.0205772662930653,0.0205772662930653,0.0205772662930653,-0.00104629700291833,-0.00498647604905875,-0.000577266293065339,1.13707980712545e-06,2.49072857766461e-05
"10",0.03,0.05,0.01,0.0283069847131067,0.0301824731145474,0.0290543411911072,0.0290543411911072,0.0290543411911072,0.00169301528689325,-0.000182473114547423,0.000945658808892826,2.95071623585917e-06,1.17711911737564e-07
