,beta1.pooled,beta2.pooled,tau,beta2.pooled.hatBn,beta2.pooled.hatBb,beta2.pooled.hatF,tau2n.hat,tau2b.hat,biasB2n,biasB2b,biasF2,mseB2n,mseB2b
1,0,0,0.001,0.002847402,-2.69E-05,0.003031507,0.003031507,0.003031507,-0.002847402,2.69E-05,-0.003031507,8.11E-06,1.64E-09
2,0.05,0,0.001,0.009475591,0.002033547,0.006743488,0.006743488,0.006743488,-0.009475591,-0.002033547,-0.006743488,8.98E-05,4.14E-06
3,0.02,0.02,0.001,0.021363074,0.0212085,0.017833269,0.017833269,0.017833269,-0.001363074,-0.0012085,0.002166731,1.89E-06,1.49E-06
4,0.03,0.05,0.001,0.048157897,0.051709956,0.048050349,0.048050349,0.048050349,0.001842103,-0.001709956,0.001949651,3.62E-06,3.15E-06
5,0.2,0.03,0.001,0.063024653,0.031861425,0.054084349,0.054084349,0.054084349,-0.033024653,-0.001861425,-0.024084349,0.00109092,3.76E-06
6,0.03,0.2,0.001,0.211363423,0.203269302,0.209740074,0.209740074,0.209740074,-0.011363423,-0.003269302,-0.009740074,0.000133526,1.51E-05
7,0,0,0.05,-0.004841385,-0.005850777,-0.003986085,-0.003986085,-0.003986085,0.004841385,0.005850777,0.003986085,2.34E-05,3.42E-05
8,0.05,0,0.05,0.008197921,0.001724471,0.006776059,0.006776059,0.006776059,-0.008197921,-0.001724471,-0.006776059,6.72E-05,2.98E-06
9,0.02,0.02,0.05,0.027382399,0.021161943,0.030221389,0.030221389,0.030221389,-0.007382399,-0.001161943,-0.010221389,5.46E-05,1.44E-06
10,0.03,0.05,0.01,0.052237579,0.050562271,0.050732902,0.050732902,0.050732902,-0.002237579,-0.000562271,-0.000732902,5.26E-06,5.74E-07
